seq,payload_bytes,client_send_ns,client_recv_ns,rtt_ms,throughput_bps,lost,jitter_ms
1,1024,1483965560574,1484147171219,181,45259.67,false,0.00
2,1024,1484220082275,1484345785326,125,65536.00,false,0.00
3,1024,1484361778803,1484475036748,113,72495.58,false,0.00
4,1024,1484546463083,1484728871957,182,45010.99,false,0.00
5,1024,1484741541555,1484852896874,111,73801.80,false,0.00
6,1024,1484865321266,1484971749878,106,77283.02,false,0.00
7,1024,1484978202638,1485099361797,121,67702.48,false,0.00
8,1024,1485109928239,1485219611659,109,75155.96,false,0.00
9,1024,1485230601062,1485335116892,104,78769.23,false,0.00
10,1024,1485343587363,1485447358528,103,79533.98,false,0.00
11,1024,1485461002191,1485564698741,103,79533.98,false,0.00
12,1024,1485577383670,1485680720603,103,79533.98,false,0.00
13,1024,1485690707180,1485799643471,108,75851.85,false,0.00
14,1024,1485805515875,1485912771405,107,76560.75,false,0.00
15,1024,1485923044416,1486030126939,107,76560.75,false,0.00
16,1024,1486047477979,1486150254413,102,80313.73,false,0.00
17,1024,1486159028753,1486437664547,278,29467.63,false,0.00
18,1024,1486445614182,1486635667818,190,43115.79,false,0.00
19,1024,1486644594147,1486800725794,156,52512.82,false,0.00
20,1024,1486809814352,1486914426160,104,78769.23,false,0.00
21,1024,1486920126384,1487029741262,109,75155.96,false,0.00
22,1024,1487036150326,1487164251193,128,64000.00,false,0.00
23,1024,1487181873447,1487292635146,110,74472.73,false,0.00
24,1024,1487307730390,1487576425636,268,30567.16,false,0.00
25,1024,1487593012554,1487732357189,139,58935.25,false,0.00
26,1024,1487739578076,1487846164417,106,77283.02,false,0.00
27,1024,1487852199079,1487956234738,104,78769.23,false,0.00
28,1024,1487963358690,1488066430174,103,79533.98,false,0.00
29,1024,1488078884426,1488232892706,154,53194.81,false,0.00
30,1024,1488240123328,1488360542803,120,68266.67,false,0.00
31,1024,1488370750879,1488475757635,105,78019.05,false,0.00
32,1024,1488485896953,1488841502483,355,23076.06,false,0.00
33,1024,1488851634493,1489068891527,217,37751.15,false,0.00
34,1024,1489077675137,1489180895209,103,79533.98,false,0.00
35,1024,1489194858689,1489298928470,104,78769.23,false,0.00
36,1024,1489306409008,1489416806836,110,74472.73,false,0.00
37,1024,1489423993238,1489554356471,130,63015.38,false,0.00
38,1024,1489570521437,1489673300082,102,80313.73,false,0.00
39,1024,1489685485031,1489790744866,105,78019.05,false,0.00
40,1024,1489800840503,1489903254022,102,80313.73,false,0.00
41,1024,1489909754352,1490067527987,157,52178.34,false,0.00
42,1024,1490075358618,1490183079039,107,76560.75,false,0.00
43,1024,1490189938126,1490298464602,108,75851.85,false,0.00
44,1024,1490307492556,1490579839398,272,30117.65,false,0.00
45,1024,1490592233212,1490700618325,108,75851.85,false,0.00
46,1024,1490708710947,1490816272424,107,76560.75,false,0.00
47,1024,1490824525833,1490930211332,105,78019.05,false,0.00
48,1024,1490945771288,1491054025022,108,75851.85,false,0.00
49,1024,1491064676197,1491174135186,109,75155.96,false,0.00
50,1024,1491187320405,1491290610145,103,79533.98,false,0.00
51,1024,1491297190310,1491439247789,142,57690.14,false,0.00
52,1024,1491450338892,1491557344401,107,76560.75,false,0.00
53,1024,1491565061553,1491675339039,110,74472.73,false,0.00
54,1024,1491681474617,1491790826284,109,75155.96,false,0.00
55,1024,1491797538864,1491902138313,104,78769.23,false,0.00
56,1024,1491909552601,1492023643696,114,71859.65,false,0.00
57,1024,1492031851790,1492137308148,105,78019.05,false,0.00
58,1024,1492148522839,1492269462860,120,68266.67,false,0.00
59,1024,1492276808472,1492470772710,193,42445.60,false,0.00
60,1024,1492481678386,1492599631385,117,70017.09,false,0.00
61,1024,1492606728622,1492723188180,116,70620.69,false,0.00
62,1024,1492734274111,1492894572097,160,51200.00,false,0.00
63,1024,1492925520520,1493031869230,106,77283.02,false,0.00
64,1024,1493038366216,1493169101138,130,63015.38,false,0.00
65,1024,1493178611644,1493285593036,106,77283.02,false,0.00
66,1024,1493291851384,1493402619631,110,74472.73,false,0.00
67,1024,1493408933206,1493586421870,177,46282.49,false,0.00
68,1024,1493596923145,1493756639744,159,51522.01,false,0.00
69,1024,1493762606101,1493939138058,176,46545.45,false,0.00
70,1024,1493948887584,1494051854161,102,80313.73,false,0.00
71,1024,1494065375687,1494168576297,103,79533.98,false,0.00
72,1024,1494175715555,1494282376070,106,77283.02,false,0.00
73,1024,1494288093385,1494404304511,116,70620.69,false,0.00
74,1024,1494410528894,1494524225807,113,72495.58,false,0.00
75,1024,1494535308560,1494638161676,102,80313.73,false,0.00
76,1024,1494656203349,1494760929067,104,78769.23,false,0.00
77,1024,1494767392226,1494878632110,111,73801.80,false,0.00
78,1024,1494886205915,1494988444051,102,80313.73,false,0.00
79,1024,1495002964880,1495117254825,114,71859.65,false,0.00
80,1024,1495130040943,1495234768453,104,78769.23,false,0.00
81,1024,1495244485846,1495351057044,106,77283.02,false,0.00
82,1024,1495359802291,1495468988630,109,75155.96,false,0.00
83,1024,1495480600301,1495609287115,128,64000.00,false,0.00
84,1024,1495618006557,1495721335055,103,79533.98,false,0.00
85,1024,1495768668856,1495874062640,105,78019.05,false,0.00
86,1024,1495881106417,1495988588723,107,76560.75,false,0.00
87,1024,1495995028065,1496106016623,110,74472.73,false,0.00
88,1024,1496114761390,1496318592033,203,40354.68,false,0.00
89,1024,1496326292795,1496433223908,106,77283.02,false,0.00
90,1024,1496448393933,1496558848777,110,74472.73,false,0.00
91,1024,1496576717826,1496703149248,126,65015.87,false,0.00
92,1024,1496709809297,1496941639046,231,35463.20,false,0.00
93,1024,1496949279929,1497051489897,102,80313.73,false,0.00
94,1024,1497060100459,1497289261488,229,35772.93,false,0.00
95,1024,1497297454364,1497409754618,112,73142.86,false,0.00
96,1024,1497416113124,1497522379403,106,77283.02,false,0.00
97,1024,1497528223931,1497706375863,178,46022.47,false,0.00
98,1024,1497716903081,1497868766896,151,54251.66,false,0.00
99,1024,1497875784437,1497987281861,111,73801.80,false,0.00
100,1024,1497992925496,1498121269260,128,64000.00,false,0.00
